access_personal_info___,alter_phone_state___,anti_debug_____,create_folder_____,create_process`_____,create_thread_____,device_access_____,execute_____,fs_access____,fs_access()____,fs_access(create)____,fs_access(create__append)__,fs_access(create__read)__,fs_access(create__read__write),fs_access(create__write)__,fs_access(create__write__append),fs_access(read)____,fs_access(read__write)__,fs_access(write)____,fs_pipe_access___,fs_pipe_access()___,fs_pipe_access(read)___,fs_pipe_access(read__)_,fs_pipe_access(read__write)_,fs_pipe_access(write)___,network_access____,network_access()____,network_access(read)____,network_access(read__write)__,network_access(read__write__),network_access(write)____,network_access(write__)__,sms_send____,terminate_process,terminate_thread,__arm_nr_cacheflush,__arm_nr_set_tls,_llseek,_newselect,accept,access,add,addaccessibilityinteractionconnection,addaccountexplicitly,addclient,addperiodicsync,addstatuschangelistener,addtodisplay,addtodisplaywithoutinputchannel,addwithoutinputchannel,attachengine,beginrestoresession,bind,brk,cancelallnotifications,cancelnotificationwithtag,cancelsync,canceltoast,cancelvibrate,capset,chdir,checkoperation,checkpackage,checkpermission,checksignatures,chmod,chown32,clock_getres,clock_gettime,clone,close,collapsepanels,connect,currenttocanonicalpackagenames,datachanged,deletehost,disconnect,displaycompletions,dup,dup2,endrestoresession,engineshown,enqueuenotificationwithtag,enqueuetoast,epoll_create,epoll_ctl,epoll_wait,eventfd2,execve,exit,exit_group,faccessat,fchmod,fchown32,fcntl,fcntl64,fdatasync,finishdrawing,finishinput,finishspellcheckerservice,flock,fork,fstat64,fstatfs64,fsync,ftruncate,ftruncate64,futex,geocoderispresent,getaccounts,getaccountsasuser,getactiveadmins,getactivenetworkinfo,getactivephonetype,getactivityinfo,getallcellinfo,getallnetworkinfo,getallpkgusagestats,getallproviders,getanimationscale,getappwidgetids,getappwidgetinfo,getapplicationenabledsetting,getapplicationinfo,getapplicationrestrictions,getauthenticatortypes,getbestprovider,getboolean,getcallstate,getcameradisabled,getcamerainfo,getcelllocation,getclientdefaultlanguage,getcomponentenabledsetting,getconfigurednetworks,getconnectioninfo,getcurrentinputmethodsubtype,getcurrentmodetype,getcurrentspellchecker,getcurrentspellcheckersubtype,getdataactivity,getdatanetworktype,getdatastate,getdeviceid,getdevicelist,getdeviceowner,getdevicesvn,getdhcpinfo,getdisplayframe,getdisplayids,getdisplayinfo,getenabledaccessibilityservicelist,getenabledinputmethodlist,getenabledinputmethodsubtypelist,getflashlightenabled,getfromlocation,getglobalsearchactivity,getgroupidlevel1,getheighthint,geticcserialnumber,getintouchmode,getinputdevice,getinputdeviceids,getinputmethodlist,getinstalllocation,getinstalledapplications,getinstalledpackages,getinstalledproviders,getinstallerpackagename,getissyncable,getlastchosenactivity,getlastinputmethodsubtype,getlastlocation,getline1number,getlong,getmastersyncautomatically,getmessenger,getmobiledataenabled,getmobileifaces,getmode,getnameforuid,getneighboringcellinfo,getnetworkinfo,getnetworkpreference,getnightmode,getnumberofcameras,getpackagegids,getpackageinfo,getpackagesizeinfo,getpackagesforuid,getpassword,getpermissiongroupinfo,getpermissioninfo,getpreferredactivities,getpreferredpackages,getprimaryclip,getproviderinfo,getproviderproperties,getproviders,getproxy,getreceiverinfo,getringermode,getringtoneplayer,getscanresults,getsearchableinfo,getsearchablesinglobalsearch,getserviceinfo,getspellcheckerservice,getstate,getstorageencryptionstatus,getstreammaxvolume,getstreamvolume,getstring,getsubscriberid,getsyncautomatically,getsystemavailablefeatures,getsystemsharedlibrarynames,gettetheredifaces,getuserdata,getusericon,getuserrestrictions,getuserserialnumber,getusers,getvibratesetting,getvoicemailalphatag,getvoicemailnumber,getwallpaper,getwallpaperinfo,getwidthhint,getwifiapconfiguration,getwifiapenabledstate,getwifidisplaystatus,getwifienabledstate,getwifiservicemessenger,getcwd,getdents64,getegid32,geteuid32,getgid32,getgroups32,getpeername,getpgid,getpid,getppid,getpriority,getresgid32,getresuid32,getrusage,getsockname,getsockopt,gettid,gettimeofday,getuid32,hasclipboardtext,hasicccard,haskeys,hasnamedwallpaper,hasnavigationbar,hasprimaryclip,hassystemfeature,hasvibrator,hidesoftinput,inkeyguardrestrictedinputmode,inotify_add_watch,inotify_init,inotify_rm_watch,ioctl,isactivenetworkmetered,isadminactive,isbluetootha2dpon,isbluetoothscoon,iscamerasoundforced,isimssmssupported,iskeyguardlocked,iskeyguardsecure,ispackageavailable,isproviderenabled,issafemode,isscanalwaysavailable,isscreenon,isspeakerphoneon,isspellcheckerenabled,issyncactive,iswakelocklevelsupported,lgetxattr,link,listen,locationcallbackfinished,lseek,lstat64,madvise,mkdir,mknod,mlock,mmap2,mount,mprotect,mremap,msync,munlock,munmap,nanosleep,notifyappwidgetviewdatachanged,notifychange,onchange,onclose,onfinished,ongetsentencesuggestionsmultiple,onrectangleonscreenrequested,onrequestcontinued,onresult,open,opensession,partiallyupdateappwidgetids,performdeferreddestroy,pingsupplicant,pipe,pipe2,play,playsoundeffect,playsoundeffectvolume,poll,prctl,pread64,preparevpn,ptrace,pwrite64,querycontentproviders,queryintentactivities,queryintentcontentproviders,queryintentreceivers,queryintentservices,read,readlink,reassociate,recvfrom,recvmsg,reenablekeyguard,registercallback,registercontentobserver,registerinputdeviceschangedlistener,registermediabuttonintent,registerremotecontrolclient,registersuggestionspansfornotification,relayout,releasemulticastlock,releasewakelock,releasewifilock,remove,removeaccessibilityinteractionconnection,removeactiveadmin,removegpsstatuslistener,removeprimaryclipchangedlistener,removestatuschangelistener,rename,requestlocationupdates,requestscanfile,resolvecontentprovider,resolveintent,resolveservice,restorepackage,rmdir,rt_sigprocmask,rt_sigtimedwait,sched_get_priority_max,sched_get_priority_min,sched_getparam,sched_getscheduler,sched_setaffinity,sched_setscheduler,sched_yield,send,sendaccessibilityevent,sendextracommand,sendmultiparttext,sendtext,sendmsg,sendto,set,setapplicationenabledsetting,setcallback,setcomponentenabledsetting,setdimensionhints,setdiscoveryrequest,setextractedtext,setflashlightenabled,seticonvisibility,setintouchmode,setissyncable,setmetadata,setmobiledataenabled,setmode,setnetworkpreference,setnightmode,setplaybackstate,setplaybackstateforrcc,setprimaryclip,setradio,setringermode,setspeakerphoneon,setstreammute,setstreamvolume,setsyncautomatically,settextaftercursor,settextbeforecursor,settransparentregion,settransportcontrolinfo,setwallpaper,setwallpaperposition,setwifiapconfiguration,setwifiapenabled,setwifienabled,setgid32,setgroups32,setitimer,setpgid,setpriority,setresgid32,setresuid32,setrlimit,setsid,setsockopt,setuid32,showsoftinput,showstrictmodeviolation,shutdown,sigaction,sigaltstack,sigprocmask,sigsuspend,socket,socketpair,startbluetoothsco,startinput,startscan,startwatchingroutes,startwifidisplayscan,stat64,statfs64,statusbarvisibilitychanged,stop,stoplistening,stopusingnetworkfeature,symlink,sync,sysinfo,timer_create,timer_settime,togglesoftinput,truncate,ugetrlimit,umask,uname,unlink,unregistercontentobserver,unregistermediabuttonintent,unregisterremotecontrolclient,updateappwidgetids,updateappwidgetprovider,updateselection,updateservicelocation,utimes,vfork,vibrate,vibratepattern,wait4,watchrotation,windowgainedfocus,write,writev,class
6,0,0,2,0,13,2,0,18,0,2,0,0,0,2,0,16,0,6,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,3,0,13,6,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,88,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3615,13,89,0,3,0,0,0,0,0,30,0,0,0,0,0,1,12,498,0,0,3,0,0,0,0,0,20,0,10,0,0,2,0,18,0,0,0,0,503,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,419,0,103,0,0,0,0,3,29,19,423,0,0,0,0,1,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,10,3,127,2,0,0,319,0,428,0,0,0,253,17,0,0,0,0,0,0,0,0,0,46,1,0,0,0,2,0,0,0,0,1,103,215,0,0,0,0,0,0,0,0,678,0,0,451,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,1,1,0,2,0,0,0,0,1,16,654,0,3,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,320,48,2
0,0,0,2,0,15,1,0,42,0,3,0,0,0,0,0,2,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,15,46,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,70,0,0,0,0,0,7,43,189,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,53,0,79,0,0,0,48,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,4,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,286,0,0,228,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,113,0,1,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,289,4,2
0,0,0,0,0,8,5,0,6,1,1,0,1,0,3,0,10,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,8,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,7,0,0,0,0,4,0,14,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,48,0,0,0,0,3,22,4,24,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,43,2,0,0,66,0,108,0,0,0,29,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,91,26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,0,0,0,0,0,0,1,8,48,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,36,4
0,0,0,3,0,11,2,0,5,0,2,0,0,0,4,0,10,0,6,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,11,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,22,0,0,0,0,0,1,0,0,0,0,0,2,0,0,408,11,24,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,31,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,15,0,0,0,0,101,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,35,0,32,0,0,0,2,4,26,56,53,0,0,0,0,1,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,44,3,0,0,44,0,138,0,0,0,5,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,2,93,4,0,0,0,0,0,0,0,0,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,1,0,3,0,0,0,0,1,11,4,0,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,11,4
0,0,0,2,0,16,1,0,42,0,3,0,0,0,0,0,2,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,16,46,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,622,0,0,0,0,0,11,48,241,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2,0,0,57,0,87,0,0,0,48,7,0,0,0,0,0,0,0,0,0,50,0,0,0,0,4,0,0,0,0,0,3,45,0,0,0,0,0,0,0,0,325,0,0,376,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,115,0,1,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,6,3
10,0,0,4,0,30,3,0,22,8,3,0,0,0,15,0,18,0,7,1,0,0,0,2,0,0,0,0,21,0,3,0,0,0,15,0,30,11,0,0,50,0,0,0,1,0,0,3,0,0,0,0,2,97,0,0,0,0,0,1,0,0,0,19,0,16,0,0,856,30,94,0,24,0,0,0,0,0,14,0,0,0,0,0,2,6,92,0,0,15,0,0,0,0,0,42,0,5,0,0,2,0,72,0,12,0,0,439,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,110,0,87,0,0,0,4,7,58,84,123,0,0,0,0,1,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,17,178,4,0,0,199,0,329,0,0,0,115,14,0,0,0,0,0,0,0,0,0,68,1,0,0,0,3,0,0,0,0,3,116,54,0,0,0,0,0,0,0,0,1252,0,0,105,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,1,1,1,0,25,0,0,0,2,1,45,501,0,24,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,198,58,1
16,0,0,6,0,39,17,0,46,6,5,0,0,2,12,0,831,0,6,1,0,0,0,8,0,11,9,0,7,0,4,0,0,0,4,4623,39,144,0,0,39,0,1,0,1,0,0,1,0,0,0,0,5,417,0,0,0,0,0,1,0,0,0,0,0,10,0,0,153767,39,944,0,9,0,0,0,0,0,28,0,0,0,0,0,8,18,26594,0,0,4,0,0,0,0,0,91,5,2,0,0,2,0,936,0,7,0,0,4019,0,0,0,0,5,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,12,12,0,0,0,22705,0,54,0,0,0,8,20,279,1259,22696,0,0,0,0,1,0,3,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,40,20,294,6,0,0,281,0,385,0,0,0,119,17,0,0,0,0,0,0,0,0,0,919,1,0,0,0,9,0,0,0,0,1,144,17,0,0,1,0,0,0,0,0,4960,1,0,776,14,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,14,364,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,1,1,1,0,19,0,0,0,0,1,43,218,0,19,12,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2082,188,3
0,0,0,7,0,43,21,0,50,0,12,0,0,7,9,0,809,0,7,1,0,0,0,8,0,10,9,0,15,0,6,1,0,0,4,945,43,6,0,0,54,0,6,0,1,0,0,14,0,0,0,0,7,274,0,0,0,0,0,1,0,0,0,0,0,4,0,0,37358,43,1016,0,19,0,0,0,0,0,65,0,0,0,0,0,8,65,9188,0,0,4,0,0,0,0,0,276,25,23,0,0,2,0,936,0,1,30,0,4699,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,12,12,0,0,0,4195,0,114,0,0,0,16,23,344,1528,4160,0,0,0,0,1,0,4,0,0,0,0,0,0,5348,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,106,17,266,7,0,0,359,0,425,0,0,0,196,17,0,0,0,0,0,0,0,0,0,915,1,0,0,0,9,0,0,0,0,1,126,114,0,0,51,0,0,0,0,0,14201,1,0,3419,13,0,1,1,1,0,0,0,25,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,13,368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,1,1,1,0,36,0,0,0,0,1,47,405,0,29,12,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13256,99,3
16,0,0,3,0,26,2,0,4,13,3,0,0,0,16,0,10,0,7,2,0,0,0,1,0,0,0,0,4,0,1,0,0,0,6,0,26,6,0,0,14465,0,0,0,1,0,0,1,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,16,0,0,6292,26,40,0,5,0,0,0,0,0,2,0,0,0,0,0,2,4,63,0,0,6,0,0,0,0,0,12,0,1,0,0,2,0,39,0,14,0,0,74276,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,71,0,59,0,0,0,0,3,56,61,28974,0,0,0,0,1,0,0,0,0,0,0,0,0,88418,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,17,430,3,0,0,91,0,217,0,0,0,25,293,0,0,0,0,0,0,0,0,0,42,1,0,0,0,3,0,0,0,0,1,108,6,0,0,0,0,0,0,0,0,613,0,0,16,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,28,1,1,1,0,4,0,0,0,0,1,32,6,0,5,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,27259,2
3,0,0,5,6,13,29,21,111,17,19,0,0,0,20,0,109,0,8,12,0,10,0,2,0,2,3,0,2,0,0,0,0,6,3,0,19,54,3,0,96,0,0,0,1,0,0,2,0,0,0,0,1,99,0,0,0,0,0,1,0,0,0,0,0,25,0,0,513,13,537,0,3,0,0,0,0,0,5,15,0,0,0,0,2,7,41,0,21,3,6,0,2,30,0,299,25,2,0,0,4,6,230,0,17,0,0,306,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,58,0,45,0,0,0,2,10,44,224,96,0,0,0,0,1,0,1,0,0,0,0,0,0,422,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,117,36,391,11,0,0,400,0,603,0,1,0,103,10,0,0,0,0,0,0,0,0,0,296,1,0,0,0,24,0,0,0,0,1,109,74,0,0,57,0,0,0,0,0,537,0,0,13,0,0,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1,1,0,6,0,0,0,0,49,22,4,0,7,0,0,0,0,0,0,140,7,0,0,0,0,0,0,0,0,0,0,0,6,0,1,19,0,0,0,0,0,0,0,0,0,0,0,11,0,0,214,36,4
