X,Y,Time
860,1792,130
1044,1028,366
121,1241,528
466,502,579
330,766,758
87,397,1027
871,870,1130
130,794,1522
769,392,1795
343,206,2069
805,1038,2503
385,1881,2955
955,1577,3130
276,891,3309
459,1484,3411
21,1714,3632
252,1598,3899
747,863,4108
856,742,4355
474,1264,4820
510,563,5116
699,1020,5489
975,95,5977
189,1757,6229
957,484,6462
686,1430,6634
957,230,7084
562,748,7388
831,1678,7731
646,1194,8060
20,540,8434
840,1059,8855
166,524,9002
387,1183,9249
600,1862,9693
315,1722,9982
13,1266,10175
241,1109,10321
776,1819,10571
564,577,10744
897,681,10980
91,556,11355
955,1597,11753
508,1012,12061
775,645,12258
34,795,12559
205,1051,13051
1025,1643,13520
1021,1579,13972
565,1363,14367
702,1821,14563
401,1354,14760
729,1663,15161
161,1529,15409
201,1371,15766
995,1496,16232
269,1254,16705
815,189,16882
455,1248,16970
1016,1408,17357
295,1400,17766
719,1306,17944
337,632,18260
878,627,18750
1076,972,19233
791,1768,19433
216,1282,19897
763,1382,20244
187,709,20392
379,1479,20704
492,1434,21005
1064,648,21198
14,317,21593
64,1700,21754
520,1248,21863
647,1842,22281
592,1257,22332
391,683,22766
418,663,23119
288,1850,23422
378,1397,23611
230,1695,23697
1017,1631,23906
40,1495,23964
1051,1256,24246
134,1715,24394
200,1136,24590
779,1853,24943
929,1520,25200
1056,441,25380
1071,563,25833
502,1291,26034
406,1533,26137
804,1830,26306
98,1409,26516
683,1410,26973
725,1136,27138
960,1636,27262
612,1648,27424
642,951,27893
